	tname	tnumber
QSTAP	 Developmental Reading 	40180 
QSTAP	 Mathematics Teaching and Learning in Elementary School 	40680 
QSTAP	 The Arts: An Interdisciplinary Learning Experience 	40780 
QSTAP	 Literacy Across the Content Areas 	41080 
QSTAP	 Teaching Social Studies through Literature  the Arts  and Technology in Elementary Schools 	41280 
QSTAP	 Teaching Science in Elementary Schools 	41480 
QSTAP	 Student Teaching 	41580 
QSTB	 Child Growth and Development 	20280 
QSTB	 Social Foundations of Urban Education 	40380 
QSTB	 Psychology of Teaching and Learning 	41380 
QSTP	 Fieldwork I: Fieldwork for Child Development and Developmental Reading 	30000 
QSTP	 Fieldwork II: Fieldwork for Literacy Across the Content Areas and Teaching Social Studies through Literature  the Arts  and Technology in Elementary Schools 	30100 
QSTP	 Fieldwork III: Fieldwork for Mathematics Teaching and Learning in Elementary School and Psychology of Teaching and Learning 	30200 
DANEP	 Theory and Practice of Teaching Dance (pre-K-12) 	30200 
SEDCP	 Student Teaching in Dance  Grades Pre-K-12 	45600 
HED	 Women and Health 	20100 
HED	 Sex Education 	30500 
HED	 Drugs and Drug Dependencies 	30600 
HED	 Independent Study in Health Education 	48000 
HEDP	 Health Education for the Classroom Teacher 	31400 
EDUC	 Honors Course in Educational Research 	49000 
ENGL	 Reading II 	00200SL 
ENGL	 English for Bilingual Students II 	00400SL 
ENGL	 English for Bilingual Students III 	00500SL 
ENGL	 Introduction to Writing about Literature  	22000 
ENGL	 Topics in Literature 	25000 
ENGL	 Topics in Literature 	25100 
ENGL	 Introduction to Literary Studies 	25200 
ENGL	 Survey of British Literature II: the Eighteenth Century to the Present 	25400 
ENGL	 Topics in Non-European Literary Traditions  	25500 
ENGL	 Topics in Literature by Non-European Americans  	25600 
ENGL	 Topics in Literature by Women  	25800 
ENGL	 Topics in Literature 	35800 
ENGL	 Introduction to Literary Analysis  	30200 
ENGL	 Western Literary Backgrounds of British and American Literature 	30300 
ENGL	 Studies in Children's Literature 	30500 
ENGL	 Literary Theory  	30600 
ENGL	 Topics in Non- European Literary Traditions  	31700 
ENGL	 Topics in Literature of Non-European Americans  	31800 
ENGL	 Topics in Literature by Women  	31900 
ENGL	 Multi-Ethnic American Literature  	32000 
ENGL	 Topics in African American Literature 	32100 
ENGL	 Topics in Gender and Sexuality in Literature 	32200 
ENGL	 Topics in Asian American Literature 	32300 
ENGL	 Topics in Native American Literature 	32400 
ENGL	 Post-Colonial Literature in English  	32500 
ENGL	 Topics in US Latina/o Literature 	32600 
ENGL	 Topics in Caribbean Literature  	32700 
ENGL	 Topics in Cross-Cultural Literature in English  	32900 
ENGL	 Sociolinguistics 	33000 
ENGL	 The Structure of Modern English 	33100 
ENGL	 History of the English Language  	33200 
ENGL	 Topics in Language and Linguistics 	33300 
ENGL	 Beowulf and Other Early Texts 	33400 
ENGL	 Chaucer 	33500 
ENGL	 Medieval Literature (1100-1500) 	33600 
ENGL	 Literary Aspects of Folklore 	33700 
ENGL	 Survey of British Literature I: Early Texts To the Eighteenth Century 	33800 
ENGL	 Survey of British Literature II: The Eighteenth Century to the Present 	33900 
ENGL	 History of Rhetoric 	34000 
ENGL	 Rhetorical Principles of Expository Writing 	34100 
ENGL	 Topics in Rhetoric 	34200 
ENGL	 Discourse Analysis 	34600 
ENGL	 Language and Ethnicity 	34700 
ENGL	 English Across the World 	34800 
ENGL	 Renaissance Drama 	35000 
ENGL	 The Age of Elizabeth I 	35100 
ENGL	 Shakespeare Survey 	35200 
ENGL	 Shakespeare I 	35300 
ENGL	 Shakespeare II 	35400 
ENGL	 Topics in Shakespeare  	35500 
ENGL	 Topics in Seventeenth-Century Literature 	35900 
ENGL	 The 17th Century 	36000 
ENGL	 Milton 	36100 
ENGL	 English Drama of Restoration and 18th Century 	36200 
ENGL	 Topics in Milton 	36300 
ENGL	 The Age of Satire 	36400 
ENGL	 The Later 18th Century 	36500 
ENGL	 The 18th Century English Novel 	36800 
ENGL	 The 19th Century English Novel 	36900 
ENGL	 Topics in Romantic Literature 	37100 
ENGL	 Romantic Poetry 	37200 
ENGL	 Victorian Literature  	37300 
ENGL	 20th and 21st Century British and Irish Poetry 	37400 
ENGL	 20th and 21st Century American Poetry 	37500 
ENGL	 20th and 21st Century British and Irish Fiction 	37600 
ENGL	 20th and 21st Century American Fiction 	37700 
ENGL	 20th and 21st Century British and Irish Drama 	37800 
ENGL	 20th and 21st Century American Drama 	37900 
ENGL	 Irish Literary Renaissance 	38000 
ENGL	 Topics in Medieval Literature 	38200 
ENGL	 Topics in Renaissance Literature 	38300 
ENGL	 Topics in Restoration and 18th Century Literature 	38400 
ENGL	 Topics in 19th Century Literature 	38500 
ENGL	 Topics in British and American Literature 	38600 
ENGL	 Topics in British and/or Irish Fiction 	38700 
ENGL	 Topics in Multi-Genre British and/or Irish Literature 	38800 
ENGL	 One Major Writer  	38900 
ENGL	 Topics in 20th Century Literature  	39000 
ENGL	 Topics in British and/ or Irish Poetry 	39100 
ENGL	 Topics in American Poetry 	39200 
ENGL	 World Literature: Drama 	39400 
ENGL	 Survey of American Literature: Origins to the Civil War  	39500 
ENGL	 American Prose from Reconstruction to World War I 	39600 
ENGL	 Pre-20th Century American Poetry 	39700 
ENGL	 Topics in American Fiction 	39800 
ENGL	 Topics in American Multi-Genre Literature  	39900 
ENGL	 Special Studies Seminar 	48200 
ENGL	 Special Studies Seminar 	48300 
ENGL	 Special Studies Seminar 	48400 
ENGL	 Advanced Poetry Writing 	48469 
ENGL	 Narrative Forms: Strategies in Fiction Writing 	48476 
ENGL	 Character  Class  Conflict in Contemporary Firction 	48483 
ENGL	 Creative Non-Fiction 	48491 
ENGL	 Individual Tutorial Project 	48500 
ENGL	 Advanced Topics Seminar 	49000 
ENGL	 Honors Seminar: Special Studies 	49400 
ENGL	 Internship 	49800 
ENGL	 Expository Writing 	12000 
ENGL	 Intermediate Expository Writing Using Small-Group Methods 	20100 
ENGL	 Advanced Expository Writing 	21800 
ENGL	 Introduction to Creative Writing 	30000 
ENGL	 Theory and Practice of Expository Writing 	30100 
ENGL	 Workshop in Non-Fiction I 	30800 
ENGL	 Workshop in Non-Fiction II 	30900 
ENGL	 Workshop in Fiction I 	31100 
ENGL	 Workshop in Fiction II 	31300 
ENGL	 Workshop in Poetry I 	31400 
ENGL	 Workshop in Poetry II 	31600 
ENGL	 Advanced Prose Writing 	48455 
FILM	 Introduction to Cinema 	10100 
FILMP	 Media & Film in a Digital Age I 	15000 
FILMP	 Media & Film in a Digital Age II 	16000 
FILM	 Practical Film Analysis 	20100 
FILM	 Film History I: 1895-1942 	21100 
FILM	 Film History II: Since 1942 	21200 
FILM	 National Cinema 	21300 
FILM	 National Cinema: Italian Cinema 	21305 
FILM	 Israeli Cinema 	21344 
FILM	 National Cinema: French New Wave 	21351 
FILM	 National Cinema: Asian Cinema 	21355 
FILM	 Multicultural Perspectives in Cinema 	21400 
FILM	 Women and Film 	21500 
FILM	 Topics in Genre Studies 	22200 
FILM	 Topics in Genre Studies: “The Woman's Film” of the 1940s 	22252 
FILM	 Cinematic Space 	22400 
FILM	 Movies in American Culture 	23000 
FILM	 Studies of Selected Directors 	23100 
FILM	 Experimental Film and Video 	23200 
FILMP	 Film Production I 	25100 
FILMP	 Location Sound 	28600 
FILPL	 Screen Writing I - The Short  	27600 
Media	 Movies in American Culture 	23000 
FILM	 Nonfiction Film and Video 	31500 
FILM	 Contemporary Film Theory 	32200 
FILM	 Film Technology and Aesthetic Theory 	32300 
FILM	 Aesthetics of Film Sound 	32351 
FILM	 Narrative Strategies 	32400 
FILM	 America in American Film and Video 	32600 
FILM	 Representations of Race and Ethnicity in U.S. Media 	32700 
FILM	 Images of Resistance in the Developing World 	32800 
FILM	 Myths and Images in the Media 	33200 
FILM	 Styles and Theories of Film Acting 	33300 
FILM	 Theatricality and the Presentation of Self 	33400 
FILM	 History of Cinematography 	34400 
FILM	 Problems in Film Research 	39100 
FILM	 Topics in Film History 	39700 
FILMP	 Directing Documentary Video Production 	31100 
FILMP	 Producing the Film 	34100 
FILMP	 Film Production II 	35200 
FILMP	 Screen Directing I 	37100 
FILMP	 Screen Directing II 	37200 
FILMP	 Techniques of Cinematography 	38100 
FILMP	 Narrative Editing 	38200 
FILMP	 Sound Design 	38300 
FILMP	 Film and Video Production 	38400 
FILPL	 Experimental Production 	31600 
FILPL	 Screen Writing II The Feature  	37700 
MEDIA	 Concepts in Gaming 	36300 
FILM	 Special Topics in Film 	29900 
FILM	 Studies in Film 	39900 
FILM	 Independent Research 	40100 
FILM	 Honors Project 	40200 
FILM	 Internship 	49800 
FILM	 Advanced Seminar 	49900 
FILMP	 Special Topics in Advanced Film Practice 	39900 
FILMP	 Film and Video Production Seminar 	45100 
FILMP	 Internship 	49800 
MEDP	 Special Topics in Media Production 	29900 
MEDIA	 Introduction to Media Studies 	18000 
MEDIA	 Journalism and Society 	21000 
MEDIA	 News Literacy in a Digital Age  	21100 
MEDIA	 Internet and Society 	26000 
MEDIA	 Television Culture 	27100 
MEDIA	 Understanding New Media 	28000 
MEDIA	 Special Topics in Media Studies 	29800 
MEDIA	 The Horror Film 	29853 
MEDIA	 Special Topics in Media Studies 	29900 
MEDIA	 The Culture of Publicity 	31300 
MEDIA	 Public Relations: Theory and Practice  	31400 
MEDIA	 Nonfiction Film and Video 	31500 
MEDIA	 America in American Film and Video 	32600 
MEDIA	 Representations of Race and Ethnicity in U.S. Media 	32700 
MEDIA	 Images of Resistance in the Developing World 	32800 
MEDIA	 Myths and Images in the Media 	33200 
MEDIA	 Typecasting 	33300 
MEDIA	 Digital Copyright 	36500 
MEDIA	 The Press and the Public 	37000 
MEDIA	 Journalism as Literature 	37300 
MEDIA	 Media  Sports  and Society 	37400 
MEDIA	 Media and Politics 	37500 
MEDIA	 History of Broadcasting 	38000 
MEDIA	 Propaganda and the Mass Media 	38100 
MEDIA	 Popular Music and the Music Industry 	38300 
MEDIA	 Women and Media 	38400 
MEDIA	 Media Ethics 	38600 
MEDIA	 Broadcast Journalism 	39000 
MEDIA	 History of Print Journalism 	39100 
MEDIA	 Media Criticism 	39300 
MEDIA	 Mass Communications and the Law 	39400 
MEDIA	 Mass Media in Developing Countries 	39500 
MEDIA	 Global Communication 	39600 
MEDIA	 Cult TV and its Audiences 	39700 
MEDIA	 Complex Television Narratives  	39800 
MEDIA	 Special Issues in Media Studies 	39900 
MEDIA	 Advanced Seminar 	49900 
MEDP	 Media and Film in a Digital Age Pt. 1 	15000 
MEDP	 Media and Film in a Digital Age Pt. 2 	16000 
MEDP	 Digital Design and Usability 	25000 
MEDP	 Introduction to 2D Animation 	26000 
MEDP	 Documentary Video Production 1 	28100 
MEDP	 Studio Television Production 	28200 
MEDP	 Web Production I 	28500 
MEDP	 Location Sound 	28600 
MEDP	 Advanced TV Studio Production 	31000 
MEDP	 Documentary Video Production 2 	31100 
MEDP	 Advanced Documentary Digital Editing 	31200 
MEDP	 Web Production II 	33100 
MEDP	 Web Programming 	34100 
MEDP	 Web Design Projects 	34500 
MEDP	 Introduction to Physical Computing 	34900 
MEDP	 Physical Computing: Interactive Installation 	35500 
MEDP	 3D Animation and Modeling 	36000 
MEDP	 3D Virtual Environments 	36500 
MEDP	 Sound Design 	38300 
MEDP	 Mobile Journalism 	38700 
MEDP	 Game Design and Programming 	39909 
MEDP	 Motion Graphics 	39950 
MEDP	 Film and Video Production Seminar 	45100 
MEDPL	 Reporting and Writing I  	20100 
MEDPL	 Reporting and Writing 2 	20200 
MEDPL	 Entertainment Journalism  	23900 
MEDPL	 News Video Reporting 	28300 
MEDPL	 Radio Reporting and Podcasting 	28400 
MEDPL	 Developing the Documentary  	29000 
MEDPL	 Magazine Writing  	29400 
MEDPL	 Online Journalism  	29500 
MEDPL	 Feature Writing  	29600 
MEDPL	 Experimental Production 	31600 
MEDPL	 Investigative Reporting  	37200 
MEDPL	 Neighborhood News  	37700 
MEDPL	 Mobile Journalism 	38700 
MEDPL	 Studio News Production 	38800 
MEDIA	 Independent Research 	40100 
MEDIA	 Honors Project 	40200 
MEDIA	 Internship 	49800 
MEDP	 Special Topics in Advanced Media Production 	39900 
GEOG	 People and Their Environment 	10100 
GEOG	 World Regional Geography 	15000 
GEOG	 Special Topics: Introductory Geosciences 	18300 
GEOG	 Economic Geography and Globalization 	22100 
GEOG	 Environmental Conservation: Resource Management 	22600 
GEOG	 Environmental Conservation: Urban Problems 	22700 
GEOG	 Population Geography 	24100 
GEOG	 Urban Geography 	24300 
GEOG	 Geography of Development 	24500 
GEOG	 Cultural Geography 	24700 
GEOG	 Geographic Research Methods 	25000 
GEOG	 Special Topics in Urban and Regional Dynamics 	30500 
GEOG	 Special Topics in Contemporary Regional Geographies 	30600 
GEOG	 Transportation Geography 	32100 
GEOG	 Urban Environmental Problems: Evaluations and Solutions 	32800 
GEOG	 International Pollution Issues 	33500 
GEOG	 Geography of International Migration and Ethnicity 	34200 
GEOG	 Urban Geographic Theory 	34300 
GEOG	 Geography of New York City and Vicinity 	35700 
GEOG	 Geography of Sustainable Development in Developing Countries 	37000 
GEOG	 Rural Water Supply in Developing Regions 	37100 
GEOG	 Special Topics in Geography 	38100 
GEOG	 Special Topics in Geography 	38200 
GEOG	 Special Topics in Geography 	38300 
GEOG	 Individual Study in Geography 	39100 
GEOG	 Individual Study in Geography 	39200 
GEOG	 Individual Study in Geography 	39300 
GEOG	 Capstone in Urban and Social Geography 	48000 
GEOG	 Capstone in Sustainability Studies 	48100 
GEOG	 Honors in Geography 	49000 
GEOG	 Internship 	49800 
GTECH	 Digital Earth 	10100 
GTECH	 Introduction to Geographic Information Science 	20100 
GTECH	 Introduction to Remote Sensing 	20300 
GTECH	 Quantitative Methods in Geography 	30100 
GTECH	 Remote Sensing of the Environment 	32100 
GTECH	 Digital Image Processing 	32200 
GTECH	 Field Topographic Surveying 	35000 
GTECH	 Field Techniques in Geography 	35100 
GTECH	 GIS Analysis 	36100 
GTECH	 Introduction to Cartographic Design and Geovisualization 	38000 
GTECH	 GIS Applications 	38500 
GTECH	 Capstone in Geographic Information Science 	48000 
GTECH	 Honors in Geographic Information Science 	49000 
GTECH	 Internship in Geographic Information Science 	49800 
PGEOG	 Weather and Climate 	13000  
PGEOG	 Introduction to Weather  Climate and Climate Change 	14000 
PGEOG	 Introduction to Weather  Climate and Climate Change Laboratory 	14100 
PGEOG	 Physical Geography II: Principles of Geomorphology 	23100 
PGEOG	 Earth System Science I 	25000 
PGEOG	 Earth System Science II 	25100 
PGEOG	 Introduction to Fluid Mechanics 	31100 
PGEOG	 Biogeography 	31300 
PGEOG	 Introduction to Hydrology 	33200 
PGEOG	 Coastal Geomorphology See GEOL 33400 	33400 
PGEOG	 Urban and Metropolitan Coasts 	33500 
PGEOG	 Global Climatic Change 	36100 
PGEOG	 Environmental Hazards 	36300 
PGEOG	 Special Topics in Environmental Studies 	38100 
PGEOG	 Special Topics in Environmental Studies 	38200 
PGEOG	 Special Topics in Environmental Studies 	38300 
PGEOG	 Individual Study in Environmental Studies 	39100 
PGEOG	 Individual Study in Environmental Studies 	39200 
PGEOG	 Individual Study in Environmental Studies 	39300 
PGEOG	 Capstone in Physical Geography 	48000 
PGEOG	 Honors in Environmental Studies 	49000 
PGEOG	 Internship in Environmental Studies 	49800 
GEOL	 Introductory to Geology 	10000 
GEOL	 Introductory Geology Lab 	10100 
GEOL	 Plate Tectonics and the Earth's Evolution 	10200 
GEOL	 Introduction to Environmental Geoscience 	10500 
GEOL	 Introduction to Oceanography 	18000 
GEOL	 Environmental Geology 	20500 
GEOL	 Principles of Geomorphology 	23100 
GEOL	 Marine Geology 	28000 
GEOL	 Hydrology See PGEOG 33200 	33200 
GEOL	 Geomorphology: The Study of Beaches and Coasts 	33400 
GEOL	 Advanced Oceanography: Physics of the Oceans 	38000 
GEOL	 Special Topics in Geology and Oceanography 	38100 
GEOL	 Special Topics in Geology and Oceanography 	38200 
GEOL	 Special Topics in Geology and Oceanography 	38300 
GEOL	 Individual Study in Geology 	39100 
GEOL	 Individual Study in Geology 	39200 
GEOL	 Individual Study in Geology 	39300 
GEOL	 Sedimentology 	24400 
PGEOG	 Geography of Soils and Vegetation 	21200 
GERMN	 Elementary German I 	10100 
GERMN	 Elementary German II 	10200 
GERMN	 Intensive Elementary German 	10300 
GERMN	 Intensive German 2 and 3 	20000 
GERMN	 Intermediate German I 	20100 
GERMN	 Intermediate German Workshop I 	20150 
GERMN	 Intermediate German II 	20200 
GERMN	 Intermediate German Workshop II 	20250 
GERMN	 Intensive Intermediate German 	20300 
GERMN	 Advanced German Comprehension and Conversation 	30100 
GERMN	 Advanced German Conversation and Composition 	30200 
GERMN	 Advanced German Language Studies 	31000 
GERMN	 Introduction to Business German 	31200 
GERMN	 Studies in German Literature and Language 	32000 
GERMN	 Individual and Society in Modern German Literature 	32100 
GERMN	 German Civilization 	32200 
GERMN	 Women in German Literature 	32300 
GERMN	 Modern Swiss Literature 	32700 
GERMN	 German Children's and Adolescent Literature 	32800 
GERMN	 The German Short Story and Novelle 	33400 
GERMN	 German Radio Plays: Hoerspiel 	33500 
GERMN	 German Lyric Poetry 	33600 
GERMN	 German Drama from Naturalism to Present 	33900 
GERMN	 German Drama from Age of Goethe to Naturalism 	34100 
GERMN	 The German Novel 	34200 
GERMN	 Readings in Classical Period of German Literature 	34400 
GERMN	 Literature of Weimar Republic 	34500 
GERMN	 German Literature of the 1930s and 1940s 	34600 
GERMN	 German Literature 1945-1995 	34700 
GERMN	 East German Literature (1945-1990) 	34800 
GERMN	 Austrian Literature 	35000 
GERMN	 Goethe's Faust 	35300 
GERMN	 German Literary Seminar 	35900 
GERMN	 German-Jewish Love Stories in Literature and Film after 1945  	37300 
GERMN	 Advanced Topics in German Language Study 	38500 
GERMN	 The German Press of Today: Reading and Understanding Newspapers and Magazines 	38501 
GERMN	 Advanced Business German 	38502 
GERMN	 German Grammar for Upper- Level Discourse 	38503 
GERMN	 Advanced German Through Translation 	38504 
GERMN	 Second Language Acquisition 	39900 
GERMN	 Seminar Studies in German Literature and Language 	44400 
GERMN	 Honors Project 	49100 
GERMN	 Independent Study in German 	49200 
GERMN	 Individual Studies Project in German Studies 	49300 
GERMN	 Internship 	49800 
GERMN	 German Thought and Culture: A Survey  	24000 
GERMN	 German Fairy Tales in Translation  	24100 
GERMN	 Germany in the Twenties  	37200 
GERMN	 Masterpieces of German Literature in English Translation  	37400 
GERMN	 Studies/Seminar Studies in German Literature in English Translation 	37900 
GERMN	 Studies/Seminar Studies in German Literature in English Translation 	47900 
GRMN	 Post-Feminist German Literature and Film 	32400 
GERMN	 German through Lieder 	10600 
GERMN	 German Literature from Its Origins to the Age of Goethe 	34300 
GERMN	 Gottfried von Strassburg: Tristan 	36100 
GERMN	 Wolfram von Eschenbach: Parzival in translation 	36200 
GERMN	 Goethe’s Faust in English translation 	36300 
GERMN	 Heinrich von Kleist 	36400 
GERMN	 Georg Büchner 	36500 
GERMN	 Hermann Hesse 	36600 
GERMN	 Hermann Hesse: Magister Ludi 	36700 
GERMN	 Rainer Maria Rilke’s Duino Elegies 	36800 
GERMN	 Thomas Mann’s The Magic Mountain 	36900 
GERMN	 Franz Kafka 	37000 
GERMN	 Bertolt Brecht 	37100 
GERMN	 Masterpieces of Modern German Prose in English Translation 	37600 
GERMN	 Masterpieces of German Drama in English Translation 	37800 
GRK	 Beginning Ancient Greek 1 	10100 
GRK	 Beginning Ancient Greek 2 	10200 
GRK	 Plato 	20200 
GRK	 Ancient Greek Reading: Prose 	21100 
GRK	 Ancient Greek Reading: Poetry 	21200 
GRK	 Plato II 	30100 
GRK	 Euripides 	30200 
GRK	 Greek Lyric Poetry 	30300 
GRK	 Aristophanes and Menander 	30400 
GRK	 Attic Orators 	30500 
GRK	 Sophocles 	30700 
GRK	 Aeschylus 	30800 
GRK	 Herodotus 	30900 
GRK	 Thucydides 	31000 
GRK	 Topics in Greek Literature 	32000 
GRK	 Independent Study in Greek Literature 	42100 
HEBR	 Selected Studies in Hebrew Literature in Translation 	21000 
HEBR	 Masterpieces of Medieval Hebraic Literature in Translation  	21100 
HEBR	 Readings in Modern Hebrew Literature in Translation  	21200 
HEBR	 Maimonides'  Guide to the Perplexed 	21400 
HEBR	 Hebraic and Judaic Culture and Thought in the Medieval Islamic World 	21500 
HEBR	 Masterpieces of Yiddish Literature in Translation  	21800 
HEBR	 Israeli Cinema 	22000 
HEBR	 Modern Israeli Culture 	22100 
HEBR	 Introduction to Jewish Texts and Writings 	22200 
HEBR	 Introduction to the Old Testament 	24000 
HEBR	 Topics in Hebraic Studies 	25000 
HEBR	 Old Testament Religion 	25900 
HEBR	 Masterpieces of Ancient Hebraic Literature in Translation  	28100 
HEBR	 Images of Women in the Old Testament  in Translation 	28400 
HEBR	 Ancient Near Eastern Literature and the Bible 	28600 
HEBR	 Ancient Hebraic Folklore 	28800 
HEBR	 Biblical Archaeology 	29000 
HEBR	 The Hebrew Prophets 	29200 
HEBR	 Job  Ecclesiastes and the Human Predicament  	29400 
HEBR	 Ancient Hebrew Law 	29500 
HEBR	 The Dead Sea Scrolls in English  	29600 
HEBR	 Elementary Hebrew I 	10100 
HEBR	 Elementary Hebrew II 	10200 
HEBR	 Intensive Elementary Hebrew 	10300 
HEBR	 Elementary Biblical Hebrew I 	10500 
HEBR	 Elementary Biblical Hebrew II 	10600 
HEBR	 Intermediate Hebrew I 	20100 
HEBR	 Intermediate Hebrew II 	20200 
HEBR	 Intermediate Biblical Hebrew I 	20500 
HEBR	 Intermediate Biblical Hebrew II 	20600 
HEBR	 Modern Hebrew Literature I 	31000 
HEBR	 Modern Hebrew Literature II 	31100 
HEBR	 Biblical Literature: Pentateuch 	31500 
HEBR	 Biblical Literature: Historical Books 	31600 
HEBR	 Biblical Literature: Prophetic Books 	31700 
HEBR	 Biblical Literature: Hagiographa 	31800 
HEBR	 The Modern Hebrew Short Story 	32000 
HEBR	 Talmudic Literature 	32100 
HEBR	 Medieval Literature 	32200 
HEBR	 Poetry of the Modern Hebrew Renaissance Period 	32300 
HEBR	 The Modern Hebrew Essay 	32400 
HEBR	 History of Modern Hebrew Literature 	32500 
HEBR	 Hebrew Poetry Between the Two World Wars 	32600 
HEBR	 The Modern Hebrew Novel 	32700 
HEBR	 Contemporary Hebrew Prose 	32800 
HEBR	 Medieval Hebrew Philosophic Texts 	33100 
HEBR	 Hebrew Grammar and Composition 	35100 
HEBR	 Approaches to Main Problems in Hebraic Studies 	35700 
HEBR	 Hebrew Conversation I 	37100 
HEBR	 Hebrew Conversation II 	37200 
HEBR	 Selected Studies in Hebrew Literature 	45100 
HEBR	 Independent Studies 	49000 
HEBR	 Honors Project 	49100 
HEBR	 Second Language Acquisition 	39900 
HIST	 Early Modern Europe 1500 to 1815 	12100 
HIST	 19th and 20th Century Europe  	12200 
HIST	 Ancient Civilization 	20100 
HIST	 Medieval Civilization  	21100 
HIST	 The Holocaust: An Introduction 	24200 
HIST	 Greek History 	30200 
HIST	 Roman History 	30300 
HIST	 The Age of the Crusades 	30500 
HIST	 Jewish History in the Medieval and Early Modern Periods 	31000 
HIST	 Europe in the Early Middle Ages 	31100 
HIST	 Europe in the High Middle Ages 	31200 
HIST	 Europe in the Late Middle Ages 	31300 
HIST	 Ancient and Medieval Christianity  	31400 
HIST	 Jewish History in the Medieval and Early Modern Periods  	31900 
HIST	 Jewish History in the Modern World  	32000 
HIST	 History of the Holocaust 	32100 
HIST	 Europe in the Age of Renaissance and Reformation  	32400 
HIST	 Europe in the Age of Absolutism and Revolution 	32500 
HIST	 Europe 1815-1914 	32600 
HIST	 Europe since 1914 	32700 
HIST	 History of European Diplomacy 	32900 
HIST	 Social and Economic History of Modern Europe 	33000 
HIST	 European Culture in the 16th  17th and 18th Centuries  	33100 
HIST	 Modern Culture from the 18th to the 20th Centuries 	33200 
HIST	 France during the Revolution and Napoleonic Eras 	33400 
HIST	 History of Modern France 	33500 
HIST	 History of 20th-Century Germany  	33600 
HIST	 History of Spain 	33700 
HIST	 History of Italy  	33800 
HIST	 Early British History to 1689 	34250 
HIST	 Britain Since 1689 	34251 
HIST	 England under the Tudors and Stuarts 	34300 
HIST	 Churchill's Britain  	34600 
HIST	 Russia to the 20th Century 	37400 
HIST	 Late Imperial Russia and the Soviet Union 	37500 
HIST	 Soviet Foreign Policy 	37600 
HIST	 Problems in European History  	38400 
HIST	 Problems in European History (Honors)  	48400 
HIST	 The United States from the Colonial Era to the Civil War  	15100 
HIST	 The United States from the Civil War Era to the Present  	15200 
HIST	 History of Religion in the United States 	31600 
HIST	 History of the American City 	31700 
HIST	 History of the American Working Class  	31800 
HIST	 History of New York City 	35300 
HIST	 The American Colonies in the 17th Century  	35400 
HIST	 The American Colonies in the 18th Century  	35500 
HIST	 The Early Republic 	35600 
HIST	 American-Jewish History  	35700 
HIST	 20th Century United States  	35800 
HIST	 Immigration and Ethnicity in the United States 	35900 
HIST	 America and the World in the 20th Century 	36100 
HIST	 Biography and Autobiography in the History of the U.S. 	36200 
HIST	 American Cultural History 	36300 
HIST	 American Constitutional History  1783 to 1900 	36400 
HIST	 American Economic History 	36500 
HIST	 Role of Women in American History 	36600 
HIST	 Civil War and Reconstruction 	36700 
HIST	 African American History in the United States 	36900 
HIST	 The West in American History 	37000 
HIST	 Problems in U.S. History  	38300 
HIST	 Problems in U.S. History (Honors)  	48300 
HIST	 World History to 1500 	11100 
HIST	 World History from 1500 to the Present 	11200 
HIST	 History of the Jews 	20800 
HIST	 History of Judaism 	21000 
HIST	 Early History of Latin America 	27100 
HIST	 History of Latin America in the 19th and 20th Centuries 	27200 
HIST	 Middle Eastern History from the Beginning of Islam to 1800 	27650 
HIST	 The Modern Middle East from 1800 to the Present 	27651 
HIST	 East Asia to 1600 	27700 
HIST	 East Asia  1600 to the Present 	27800 
HIST	 History of Africa to the 19th Century 	28800 
HIST	 Africa in the 19th and 20th Centuries 	28900 
HIST	 History of the Ancient Near East 	30100 
HIST	 Jewish History in the Ancient World 	30900 
HIST	 History of the Ottoman Empire  	37300 
HIST	 Ancient and Imperial China to 1800 	37700 
HIST	 China Since 1800 	37800 
HIST	 Japan to 1800 	37900 
HIST	 Japan since 1800 	38000 
HIST	 Problems in Non-Western History  	38500 
HIST	 History of South Asia 	38900 
HIST	 History of Modern West Africa 	39000 
HIST	 Problems in Non-Western History (Honors)  	48500 
HIST	 Contemporary Issues in Historical Perspective 	14100 
HIST	 Historical Issues 	25000 
HIST	 History Practicum  	29000 
HIST	 Historical Methods 	29100 
HIST	 Historical Research  	30000 
HIST	 Topics in History 	34100 
HIST	 Latin American Political Economy 	34122 
HIST	 African Influences in the Americas 	34139 
HIST	 Historical Studies Seminar 	38200 
HIST	 Historical Restoration and Museum Work 	39100 
HIST	 Historical Research [H] 	40000 
HIST	 Honors Seminar in Historical Studies 	49200 
HIST	 Individual Tutorial Research Project 	49300 
HIST	 Internship 	49800 
HR	 Introduction to Human Rights: History  Discourse  Practice  	20000 
HR	 Special Topics in Human Rights 	22000 
HR	 Human Rights Internship 	25000 
HR	 Human Rights Internship Seminar  	26000 
HR	 Special Topics in Human Rights 	32000 
HR	 Human Rights Capstone Seminar  	35000 
HUM	 Introductory Topics in Humanities and the Arts 	15000 
HUM	 Explorations in the Arts 	20100 
HUM	 Intermediate Topics in Humanities and the Arts 	25000 
HUM	 Advanced Topics in Humanities and the Arts 	35000 
JPN	 Elementary Japanese I 	10100 
JPN	 Elementary Japanese II 	10200 
JPN	 Intermediate Japanese I 	20100 
JPN	 Intermediate Japanese II 	20200 
JPN	 Japanese Culture Before 1600 	25100 
JPN	 Japanese Culture Since 1600 	25200 
JPN	 Special Topics in Japanese Culture 	26100 
JPN	 Japanese Reading: Recitation and Comprehension 	27100 
JPN	 Advanced Japanese I 	30100 
